Name,Genre,Decade,Year,RT_Score,A_Score,Difference
Coal Miner's Daughter,Drama,1980's,1980,88,86,2
The Elephant Man,Drama,1980's,1980,91,93,-2
Ordinary People,Drama,1980's,1980,90,88,2
Raging Bull,Drama,1980's,1980,95,93,2
Tess,Romance,1980's,1980,83,77,6
Atlantic City,Romance,1980's,1981,100,77,23
Chariots of Fire,Drama,1980's,1981,83,80,3
On Golden Pond,Romance,1980's,1981,92,87,5
Raiders of the Lost Ark,Action,1980's,1981,95,96,-1
Reds,Romance,1980's,1981,92,82,10
E.T,Action,1980's,1982,98,72,26
Gandhi,Drama,1980's,1982,85,92,-7
Missing,Drama,1980's,1982,97,85,12
Tootsie,Comedy,1980's,1982,89,81,8
The Verdict,Drama,1980's,1982,96,88,8
The Big Chill,Drama,1980's,1983,66,77,-11
The Dresser,Drama,1980's,1983,100,87,13
The Right Stuff,Action,1980's,1983,98,90,8
Tender Mercies,Drama,1980's,1983,86,82,4
Terms of Endearment,Comedy,1980's,1983,88,83,5
Amadeus,Drama,1980's,1984,93,95,-2
The Killing Fields,Drama,1980's,1984,93,92,1
A Passage to India,Drama,1980's,1984,86,78,8
Places in the Heart,Drama,1980's,1984,96,83,13
A Soldier's Story,Drama,1980's,1984,90,82,8
The Color Purple,Drama,1980's,1985,85,94,-9
Kiss of the Spider Woman,Drama,1980's,1985,85,81,4
Out of Africa,Drama,1980's,1985,60,83,-23
Prizzi's Honor,Comedy,1980's,1985,88,62,26
Witness,Drama,1980's,1985,92,80,12
Children of a Lesser God,Drama,1980's,1986,81,78,3
Hannah and Her Sisters,Comedy,1980's,1986,91,90,1
The Mission,Drama,1980's,1986,63,87,-24
Platoon,Action,1980's,1986,88,93,-5
A Room With a View,Comedy,1980's,1986,100,85,15
Broadcast News,Comedy,1980's,1987,98,78,20
Fatal Attraction,Drama,1980's,1987,78,71,7
Hope and Glory,Comedy,1980's,1987,95,83,12
The Last Emperor,Drama,1980's,1987,91,88,3
Moonstruck,Comedy,1980's,1987,93,80,13
The Accidental Tourist,Comedy,1980's,1988,80,60,20
Dangerous Liaisons,Drama,1980's,1988,93,83,10
Mississippi Burning,Drama,1980's,1988,86,90,-4
Rain Man,Drama,1980's,1988,89,90,-1
Working Girl,Comedy,1980's,1988,85,67,18
Born on the Fourth of July,Drama,1980's,1989,88,76,12
Dead Poets Society,Drama,1980's,1989,84,92,-8
Driving Miss Daisy,Comedy,1980's,1989,82,81,1
Field of Dreams,Drama,1980's,1989,86,86,0
My Left Foot,Drama,1980's,1989,97,92,5
Awakenings,Drama,1990's,1990,88,89,-1
Dances With Wolves,Action,1990's,1990,82,87,-5
Ghost,Romance,1990's,1990,74,80,-6
"The Godfather,III",Action,1990's,1990,68,78,-10
Good Fellas,Drama,1990's,1990,96,97,-1
Beauty and the Beast,Animation,1990's,1991,94,92,2
Bugsy,Drama,1990's,1991,85,69,16
JFK,Drama,1990's,1991,83,88,-5
The Price of Tides,Romance,1990's,1991,68,70,-2
The Silence of the Lambs,Horror,1990's,1991,96,95,1
The Crying Game,Drama,1990's,1992,94,78,16
A Few Good Men,Drama,1990's,1992,82,89,-7
Howards End,Drama,1990's,1992,94,82,12
Scent of a Woman,Drama,1990's,1992,88,92,-4
Unforgiven,Drama,1990's,1992,96,93,3
The Fugitive,Action,1990's,1993,96,89,7
In the Name of the Father,Drama,1990's,1993,94,95,-1
The Piano,Romance,1990's,1993,92,86,6
The Remains of the Day,Drama,1990's,1993,95,89,6
Schindler's List,Drama,1990's,1993,97,97,0
Forrest Gump,Comedy,1990's,1994,72,95,-23
Four Weddings and a Funeral,Comedy,1990's,1994,95,74,21
Pulp Fiction,Drama,1990's,1994,94,96,-2
Quiz Show,Drama,1990's,1994,96,87,9
The Shawshank Redeption,Drama,1990's,1994,91,98,-7
Apollo 13,Action,1990's,1995,95,87,8
Babe,Action,1990's,1995,97,67,30
Braveheart,Action,1990's,1995,76,85,-9
The Postman,Action,1990's,1995,93,94,-1
Sense and Sensibility,Romance,1990's,1995,98,90,8
The English Patient,Romance,1990's,1996,84,83,1
Fargo,Drama,1990's,1996,93,93,0
Jerry Maguire,Comedy,1990's,1996,83,79,4
Secrets & Lies,Comedy,1990's,1996,95,91,4
Shine,Drama,1990's,1996,91,90,1
As Good As it Gets,Comedy,1990's,1997,85,86,-1
The Full Monty,Comedy,1990's,1997,96,79,17
Good Will Hunting,Drama,1990's,1997,97,94,3
L.A Confidential,Drama,1990's,1997,99,94,5
Titanic,Romance,1990's,1997,89,69,20
Elizabeth,Drama,1990's,1998,82,86,-4
Life Is Beautiful,Comedy,1990's,1998,80,96,-16
Saving Private Ryan,Action,1990's,1998,93,95,-2
Shakespeare in Love,Comedy,1990's,1998,92,80,12
The Thin Red line,Action,1990's,1998,80,80,0
American Beauty,Comedy,1990's,1999,88,93,-5
The Cider House Rules,Drama,1990's,1999,71,77,-6
The Green Mile,Drama,1990's,1999,80,94,-14
The Insider,Drama,1990's,1999,96,90,6
The Sixth Sense,Mystery,1990's,1999,85,90,-5
Chocolat,Comedy,2000's,2000,62,83,-21
"Crouching Tiger, Hidden Dragon",Action,2000's,2000,97,86,11
Erin Brockovich,Comedy,2000's,2000,84,81,3
Gladiator,Action,2000's,2000,76,87,-11
Traffic,Drama,2000's,2000,92,85,7
A Beautiful Mind,Drama,2000's,2001,75,93,-18
Gosford Park,Comedy,2000's,2001,86,78,8
In the Bedroom,Drama,2000's,2001,93,81,12
LOTR: The Fellowship of the Ring,Science Fiction,2000's,2001,91,95,-4
Moulin Rouge,Drama,2000's,2001,76,89,-13
Chicago,Comedy,2000's,2002,85,93,-8
Gangs of New York,Drama,2000's,2002,74,81,-7
The Hours,Drama,2000's,2002,80,84,-4
LOTR: The Two Towers,Science Fiction,2000's,2002,95,95,0
The Pianist,Drama,2000's,2002,95,95,0
LOTR: The Return of the King,Science Fiction,2000's,2003,93,86,7
Lost in Translation,Comedy,2000's,2003,95,85,10
Master and Commander,Action,2000's,2003,85,80,5
Mystic River,Drama,2000's,2003,88,89,-1
Seabiscuit,Drama,2000's,2003,77,76,1
The Aviator,Drama,2000's,2004,86,79,7
Finding Neverland,Drama,2000's,2005,82,77,5
Million Dollar Baby,Drama,2000's,2006,91,90,1
Ray,Drama,2000's,2007,80,87,-7
Sideways,Comedy,2000's,2008,96,78,18
Brokeback Mountain,Drama,2000's,2005,87,82,5
Capote,Drama,2000's,2005,90,81,9
Crash,Drama,2000's,2005,74,88,-14
Good Night and Good Luck,Drama,2000's,2005,93,83,10
Munich,Drama,2000's,2005,78,83,-5
Babel,Drama,2000's,2006,69,77,-8
The Departed,Action,2000's,2006,91,94,-3
Letters from Iwo Jima,Drama,2000's,2006,91,86,5
Little Miss Sunshine,Comedy,2000's,2006,91,91,0
The Queen,Drama,2000's,2006,97,76,21
Atonement,Drama,2000's,2007,83,80,3
Juno,Comedy,2000's,2007,94,88,6
Michael Clayton,Drama,2000's,2007,90,69,21
No Country for Old Men,Action,2000's,2007,93,86,7
There Will Be Blood,Drama,2000's,2007,91,86,5
The Curious Case of Benjamin Button,Drama,2000's,2008,71,80,-9
Frost/Nixon,Drama,2000's,2008,93,88,5
Milk,Drama,2000's,2008,93,89,4
The Reader,Drama,2000's,2008,63,79,-16
Slumdog Millionaire,Drama,2000's,2008,91,90,1
Avatar,Action,2000's,2009,82,82,0
The Blind Side,Comedy,2000's,2009,66,85,-19
District 9,Science Fiction,2000's,2009,90,82,8
An Education,Drama,2000's,2009,95,80,15
The Hurt Locker,Action,2000's,2009,97,84,13
Inglourious Basterds,Action,2000's,2009,88,87,1
Precious,Drama,2000's,2009,91,81,10
A Serious Man,Comedy,2000's,2009,89,68,21
Up,Action,2000's,2009,98,90,8
Up in the Air,Comedy,2000's,2009,91,79,12
Black Swan,Drama,2010's,2010,85,84,1
The Fighter,Drama,2010's,2010,90,89,1
Inception,Action,2010's,2010,86,91,-5
The Kids Are All Right,Comedy,2010's,2010,93,73,20
The King's Speech,Drama,2010's,2010,95,92,3
127 Hours,Drama,2010's,2010,93,85,8
The Social Network,Drama,2010's,2010,95,86,9
Toy Story 3,Comedy,2010's,2010,98,89,9
True Grit,Action,2010's,2010,96,85,11
Winter's Bone,Drama,2010's,2010,94,76,18
The Artist,Comedy,2010's,2011,95,87,8
The Descendants,Comedy,2010's,2011,89,79,10
Extremely Loud and Incredibly Close,Drama,2010's,2011,46,61,-15
The Help,Drama,2010's,2011,75,89,-14
Hugo,Mystery,2010's,2011,93,78,15
Midnight in Paris,Comedy,2010's,2011,93,83,10
Moneyball,Drama,2010's,2011,94,86,8
The Tree of Life,Action,2010's,2011,84,60,24
War Horse,Action,2010's,2011,76,74,2
Amour,Drama,2010's,2012,93,82,11
Argo,Drama,2010's,2012,96,90,6
Beasts of he Southern Wild,Drama,2010's,2012,86,76,10
Django Unchained,Drama,2010's,2012,86,91,-5
Les Miserables,Drama,2010's,2012,69,79,-10
Life of Pi,Action,2010's,2012,87,84,3
Lincoln,Drama,2010's,2012,89,90,-1
Siver Linings Playbook,Comedy,2010's,2012,92,86,6
Zero Dark Thirty,Drama,2010's,2012,91,80,11
American Hustle,Drama,2010's,2013,92,74,18
Captain Phillips,Drama,2010's,2013,93,89,4
Dallas Buyers Club,Drama,2010's,2013,93,91,2
Gravity,Drama,2010's,2013,96,80,16
Her,Drama,2010's,2013,94,82,12
Nebraska,Drama,2010's,2013,91,83,8
Philomena,Drama,2010's,2013,91,89,2
12 Years a Slave,Drama,2010's,2013,95,90,5
The Wolf of Wall Street,Drama,2010's,2013,78,82,-4
American Sniper,Action,2010's,2014,72,84,-12
Birdman,Comedy,2010's,2014,91,77,14
Boyhood,Drama,2010's,2014,97,80,17
The Grand Budapest Hotel,Comedy,2010's,2014,91,86,5
The Imitation Game,Drama,2010's,2014,90,91,-1
Selma,Drama,2010's,2014,99,86,13
The Theory of Everything,Drama,2010's,2014,78,84,-6
Whiplash,Drama,2010's,2014,93,94,-1
The Big Short,Drama,2010's,2015,88,87,1
Bridge of Spies,Drama,2010's,2015,91,87,4
Brooklyn,Drama,2010's,2015,97,87,10
Mad Max: Fury Road,Action,2010's,2015,97,85,12
The Martian,Science Fiction,2010's,2015,91,91,0
The Revenant,Action,2010's,2015,78,84,-6
Room,Drama,2010's,2015,94,93,1
Spotlight,Drama,2010's,2015,97,93,4
Arrival,Drama,2010's,2016,94,82,12
Fences,Drama,2010's,2016,92,75,17
Hacksaw Ridge,Action,2010's,2016,86,91,-5
Hell or High Water,Drama,2010's,2016,97,88,9
Hidden Figures,Drama,2010's,2016,93,93,0
La La Land,Comedy,2010's,2016,91,81,10
Lion,Drama,2010's,2016,85,91,-6
Manchester By the Sea,Drama,2010's,2016,96,77,19
Moonlight,Drama,2010's,2016,98,79,19
Call me by Your Name,Drama,2010's,2017,95,85,10
Darkest Hour,Drama,2010's,2017,84,82,2
Dunkirk,Action,2010's,2017,92,81,11
Get Out,Horror,2010's,2017,98,86,12
Lady Bird,Comedy,2010's,2017,99,79,20
Phantom Thread,Drama,2010's,2017,92,70,22
The Post,Drama,2010's,2017,88,72,16
The Shape of Water,Science Fiction,2010's,2017,92,73,19
Three Billboards,Comedy,2010's,2017,91,86,5
Black Panther,Action,2010's,2018,97,79,18
Blackkklansman,Comedy,2010's,2018,95,82,13
Bohemian Rhapsody,Drama,2010's,2018,61,89,-28
The Favourite,Drama,2010's,2018,93,61,32
Green Book,Drama,2010's,2018,82,94,-12
Roma,Drama,2010's,2018,96,83,13
A Star is Born,Drama,2010's,2018,90,80,10
Vice,Drama,2010's,2018,66,55,11